"","naturevar","subgroup","beta","se","deviance","RR","LL","UL"
"m1","nattimeok","main",0.0216472386474264,0.0114620802120135,"528.747539719136",1.02,1,1.05
"m2","nattimeok","men",0.0080471547250274,0.0187033543696423,"520.442683299026",1.01,0.97,1.05
"m3","nattimeok","women",0.0344240275046857,0.0163606870878882,"520.442683299026",1.04,1,1.07
"m3a","nattimeok","missing gender",-0.0277165277546243,0.0496969114739647,"520.442683299026",0.97,0.88,1.07
"m1lrt","nattimeok","gender adj for LRT",0.0216564569415191,0.0114116507486833,"521.352008272305",1.02,1,1.05
"m4","nattimeok","white",0.028861088987951,0.0143052211052181,"514.539080162516",1.03,1,1.06
"m5","nattimeok","nonwhite",0.0156549848591829,0.0284935834675878,"514.539080162516",1.02,0.96,1.07
"m2lrt","nattimeok","race adj for LRT",0.0252950318112442,0.0115971218332901,"514.659299874273",1.03,1,1.05
"m6","natsat","main",0.0633968815332802,0.0214444580188536,"383.712329400461",1.07,1.02,1.11
"m7","natsat","men",0.0219433990580151,0.0377827498870886,"375.783752960507",1.02,0.95,1.1
"m8","natsat","women",0.0864832662205971,0.0292058255601228,"375.783752960507",1.09,1.03,1.15
"m8a","natsat","missing gender",0.167198375374607,0.140249545562903,"375.783752960507",1.18,0.9,1.56
"m3lrt","natsat","gender adj for LRT",0.0628244603106346,0.0215692164220719,"377.570690334942",1.06,1.02,1.11
"m9","natsat","white",0.0805515007079449,0.0247355525544603,"375.734864438257",1.08,1.03,1.14
"m10","natsat","nonwhite",0.0267954831225889,0.0483185925797916,"375.734864438257",1.03,0.93,1.13
"m4lrt","natsat","race adj for LRT",0.0670001319570629,0.0212316534554424,"376.531981528612",1.07,1.03,1.11
